sample_id,source_relpath,source_filename,source_sha256,width,height,ore_class_gt,folder_label,talc_fraction_of_image,talc_pixels
2550374-2 10х,Фото руд по сортам. ч1/Оталькованные руды/2550374-2 10х.JPG,2550374-2 10х.JPG,798985691527737fd91eceb92cd1bff411dc7ac1b9031cb25e6cc0e24918969b,2272,1704,talcose,talc_ch1,0.3409,1319904
2550375-1 10х,Фото руд по сортам. ч1/Оталькованные руды/2550375-1 10х.JPG,2550375-1 10х.JPG,8d9957e38647fd965a76847165e163af7307b446700b0b0b693f3565e62cacde,2272,1704,talcose,talc_ch1,0.3447,1334552
2550375-3 5х,Фото руд по сортам. ч1/Оталькованные руды/2550375-3 5х.JPG,2550375-3 5х.JPG,75205b77d20df13a9cd16e115d2fb2ac6c8272dae8be4b825ab27fbe2f1a1315,2272,1704,talcose,talc_ch1,0.5235,2026837
2550376-1 5x,Фото руд по сортам. ч1/Оталькованные руды/2550376-1 5x.JPG,2550376-1 5x.JPG,ee9cc99f7ce308b369f5ed0f3cad7e30e62912ae9639c585cc4cfb4e3206b672,2272,1704,talcose,talc_ch1,0.6495,2514692
2550376-2 10x,Фото руд по сортам. ч1/Оталькованные руды/2550376-2 10x.JPG,2550376-2 10x.JPG,79a0a4539c3fa9defa3055183345c11ff225c8602d7dc62cacbdbfced1992d83,2272,1704,talcose,talc_ch1,0.7131,2760577
2550377-1 5x,Фото руд по сортам. ч1/Оталькованные руды/2550377-1 5x.JPG,2550377-1 5x.JPG,154d4481bcab36998f993e95de66bb44e86d556e730b8015dfd8340f944a4b44,2272,1704,talcose,talc_ch1,0.6055,2344043
2550378-1 5x,Фото руд по сортам. ч1/Оталькованные руды/2550378-1 5x.JPG,2550378-1 5x.JPG,fef121e41d19c25a8ab668c43ff642f7ea544cd1d8e619ebb9ba0093d7052c3d,2272,1704,talcose,talc_ch1,0.557,2156339
2550381-1 10x,Фото руд по сортам. ч1/Оталькованные руды/2550381-1 10x.JPG,2550381-1 10x.JPG,75c551d27d961157a6b07264d57faff65276ed4887ed7e66cd9b56b09430137b,2272,1704,talcose,talc_ch1,0.0887,343367
2550381-2 10x,Фото руд по сортам. ч1/Оталькованные руды/2550381-2 10x.JPG,2550381-2 10x.JPG,389f41e8c4f16eaf1ba4494f064910532dc4b926451396e4141f439e8658a4da,2272,1704,talcose,talc_ch1,0.1959,758334
2550382-1 10x,Фото руд по сортам. ч1/Оталькованные руды/2550382-1 10x.JPG,2550382-1 10x.JPG,9f6dade6f478b3ffd4a0afc2feb49bd0e14f8fea5efaf038f39d32d239866374,2272,1704,talcose,talc_ch1,0.457,1769190
DSCN3042,Фото руд по сортам. ч1/Оталькованные руды/DSCN3042.JPG,DSCN3042.JPG,1210e02d9fd8421a92197436c15c4ab518baab7b1d89ff75e024124d0bbe148a,2272,1704,talcose,talc_ch1,0.5599,2167751
DSCN3048,Фото руд по сортам. ч1/Оталькованные руды/DSCN3048.JPG,DSCN3048.JPG,d96bb9708768bda97dc33777800ffc8a53d86a9c125c33e2caf516d1541371f2,2272,1704,talcose,talc_ch1,0.3799,1470845
DSCN3051,Фото руд по сортам. ч1/Оталькованные руды/DSCN3051.JPG,DSCN3051.JPG,167f4e8b57474b188c6ca1f5e7c3f8a83326198e0da2a57c36eadfc53f70ab3d,2272,1704,talcose,talc_ch1,0.4056,1570204
DSCN3052,Фото руд по сортам. ч1/Оталькованные руды/DSCN3052.JPG,DSCN3052.JPG,4b4895421f8430773e1e0fd1b96f97788e8aca7442b525be6d8b89505839c6e5,2272,1704,talcose,talc_ch1,0.3768,1458777
