{'epoch': 1, 'train_loss': 0.170103, 'val_loss': 0.135029, 'val_iou_sulfide': 0.912475, 'val_iou_bg': 0.904897, 'val_pixel_acc': 0.952245, 'seconds': 241.66}
{'epoch': 2, 'train_loss': 0.123446, 'val_loss': 0.115008, 'val_iou_sulfide': 0.924633, 'val_iou_bg': 0.917272, 'val_pixel_acc': 0.958943, 'seconds': 241.34}
{'epoch': 3, 'train_loss': 0.092563, 'val_loss': 0.096016, 'val_iou_sulfide': 0.931152, 'val_iou_bg': 0.9236, 'val_pixel_acc': 0.962426, 'seconds': 241.4}
{'epoch': 4, 'train_loss': 0.082682, 'val_loss': 0.095083, 'val_iou_sulfide': 0.932628, 'val_iou_bg': 0.925612, 'val_pixel_acc': 0.963351, 'seconds': 241.44}
{'epoch': 5, 'train_loss': 0.077773, 'val_loss': 0.09988, 'val_iou_sulfide': 0.934942, 'val_iou_bg': 0.927646, 'val_pixel_acc': 0.964529, 'seconds': 241.43}
{'epoch': 6, 'train_loss': 0.072285, 'val_loss': 0.0841, 'val_iou_sulfide': 0.940857, 'val_iou_bg': 0.93339, 'val_pixel_acc': 0.967659, 'seconds': 241.45}
{'epoch': 7, 'train_loss': 0.069957, 'val_loss': 0.100841, 'val_iou_sulfide': 0.930861, 'val_iou_bg': 0.924264, 'val_pixel_acc': 0.962501, 'seconds': 241.33}
{'epoch': 8, 'train_loss': 0.068141, 'val_loss': 0.079495, 'val_iou_sulfide': 0.944586, 'val_iou_bg': 0.936519, 'val_pixel_acc': 0.969511, 'seconds': 241.37}
{'epoch': 9, 'train_loss': 0.065438, 'val_loss': 0.08138, 'val_iou_sulfide': 0.943122, 'val_iou_bg': 0.935032, 'val_pixel_acc': 0.968724, 'seconds': 241.12}
{'epoch': 10, 'train_loss': 0.064864, 'val_loss': 0.076105, 'val_iou_sulfide': 0.947211, 'val_iou_bg': 0.939175, 'val_pixel_acc': 0.970917, 'seconds': 241.09}
{'epoch': 11, 'train_loss': 0.062765, 'val_loss': 0.076038, 'val_iou_sulfide': 0.944813, 'val_iou_bg': 0.937319, 'val_pixel_acc': 0.969765, 'seconds': 241.27}
{'epoch': 12, 'train_loss': 0.060371, 'val_loss': 0.073328, 'val_iou_sulfide': 0.946529, 'val_iou_bg': 0.938827, 'val_pixel_acc': 0.97063, 'seconds': 241.15}
{'epoch': 13, 'train_loss': 0.059165, 'val_loss': 0.077738, 'val_iou_sulfide': 0.945835, 'val_iou_bg': 0.93905, 'val_pixel_acc': 0.970474, 'seconds': 241.51}
{'epoch': 14, 'train_loss': 0.057019, 'val_loss': 0.073485, 'val_iou_sulfide': 0.947859, 'val_iou_bg': 0.941332, 'val_pixel_acc': 0.97161, 'seconds': 241.3}
{'epoch': 15, 'train_loss': 0.05793, 'val_loss': 0.079709, 'val_iou_sulfide': 0.944637, 'val_iou_bg': 0.938567, 'val_pixel_acc': 0.970006, 'seconds': 241.31}
{'epoch': 16, 'train_loss': 0.056382, 'val_loss': 0.073216, 'val_iou_sulfide': 0.948193, 'val_iou_bg': 0.941859, 'val_pixel_acc': 0.971832, 'seconds': 241.32}
{'epoch': 17, 'train_loss': 0.058571, 'val_loss': 0.071913, 'val_iou_sulfide': 0.948684, 'val_iou_bg': 0.941603, 'val_pixel_acc': 0.971919, 'seconds': 241.58}
{'epoch': 18, 'train_loss': 0.055247, 'val_loss': 0.072159, 'val_iou_sulfide': 0.949281, 'val_iou_bg': 0.942943, 'val_pixel_acc': 0.972408, 'seconds': 241.47}
{'epoch': 19, 'train_loss': 0.052511, 'val_loss': 0.071418, 'val_iou_sulfide': 0.950296, 'val_iou_bg': 0.94357, 'val_pixel_acc': 0.972856, 'seconds': 241.38}
{'epoch': 20, 'train_loss': 0.051809, 'val_loss': 0.080076, 'val_iou_sulfide': 0.947377, 'val_iou_bg': 0.939622, 'val_pixel_acc': 0.971069, 'seconds': 241.52}
{'epoch': 21, 'train_loss': 0.050601, 'val_loss': 0.069642, 'val_iou_sulfide': 0.950462, 'val_iou_bg': 0.943302, 'val_pixel_acc': 0.972844, 'seconds': 241.62}
{'epoch': 22, 'train_loss': 0.048406, 'val_loss': 0.082413, 'val_iou_sulfide': 0.939486, 'val_iou_bg': 0.933361, 'val_pixel_acc': 0.967247, 'seconds': 241.45}
{'epoch': 23, 'train_loss': 0.04963, 'val_loss': 0.069603, 'val_iou_sulfide': 0.949869, 'val_iou_bg': 0.944058, 'val_pixel_acc': 0.972843, 'seconds': 241.35}
{'epoch': 24, 'train_loss': 0.050307, 'val_loss': 0.067981, 'val_iou_sulfide': 0.953297, 'val_iou_bg': 0.947363, 'val_pixel_acc': 0.974626, 'seconds': 241.5}
{'epoch': 25, 'train_loss': 0.047424, 'val_loss': 0.067124, 'val_iou_sulfide': 0.951532, 'val_iou_bg': 0.94527, 'val_pixel_acc': 0.973617, 'seconds': 241.51}
