epoch,train_loss,val_loss,val_iou_sulfide,val_iou_bg,val_pixel_acc,seconds
1,0.170103,0.135029,0.912475,0.904897,0.952245,241.66
2,0.123446,0.115008,0.924633,0.917272,0.958943,241.34
3,0.092563,0.096016,0.931152,0.9236,0.962426,241.4
4,0.082682,0.095083,0.932628,0.925612,0.963351,241.44
5,0.077773,0.09988,0.934942,0.927646,0.964529,241.43
6,0.072285,0.0841,0.940857,0.93339,0.967659,241.45
7,0.069957,0.100841,0.930861,0.924264,0.962501,241.33
8,0.068141,0.079495,0.944586,0.936519,0.969511,241.37
9,0.065438,0.08138,0.943122,0.935032,0.968724,241.12
10,0.064864,0.076105,0.947211,0.939175,0.970917,241.09
11,0.062765,0.076038,0.944813,0.937319,0.969765,241.27
12,0.060371,0.073328,0.946529,0.938827,0.97063,241.15
13,0.059165,0.077738,0.945835,0.93905,0.970474,241.51
14,0.057019,0.073485,0.947859,0.941332,0.97161,241.3
15,0.05793,0.079709,0.944637,0.938567,0.970006,241.31
16,0.056382,0.073216,0.948193,0.941859,0.971832,241.32
17,0.058571,0.071913,0.948684,0.941603,0.971919,241.58
18,0.055247,0.072159,0.949281,0.942943,0.972408,241.47
19,0.052511,0.071418,0.950296,0.94357,0.972856,241.38
20,0.051809,0.080076,0.947377,0.939622,0.971069,241.52
21,0.050601,0.069642,0.950462,0.943302,0.972844,241.62
22,0.048406,0.082413,0.939486,0.933361,0.967247,241.45
23,0.04963,0.069603,0.949869,0.944058,0.972843,241.35
24,0.050307,0.067981,0.953297,0.947363,0.974626,241.5
25,0.047424,0.067124,0.951532,0.94527,0.973617,241.51
26,0.049232,0.06305,0.956436,0.950909,0.976373,241.39
27,0.044908,0.075414,0.947526,0.941152,0.971469,241.57
28,0.046927,0.063529,0.95533,0.949576,0.975739,241.58
29,0.049663,0.070614,0.951791,0.945226,0.973684,241.45
30,0.044054,0.065122,0.953216,0.946566,0.974418,241.49
