epoch,train_loss,val_loss,val_iou_sulfide,val_iou_bg,val_pixel_acc,seconds
1,0.18619,0.154908,0.902211,0.888993,0.945159,28.87
2,0.110328,0.143819,0.907983,0.902117,0.950209,27.39
3,0.087307,0.099323,0.92744,0.91905,0.960215,27.76
4,0.081859,0.147128,0.916018,0.90949,0.954454,27.38
5,0.069382,0.091661,0.935003,0.92446,0.963799,27.85
6,0.070012,0.090473,0.937818,0.929789,0.965899,27.14
7,0.066426,0.08678,0.938191,0.930661,0.966217,27.4
8,0.062995,0.088807,0.939145,0.93276,0.967002,27.54
9,0.062268,0.075559,0.948772,0.942517,0.972158,27.4
10,0.06141,0.074276,0.950176,0.943226,0.972741,27.65
11,0.057075,0.080678,0.945356,0.93778,0.970035,27.3
12,0.060636,0.088548,0.940587,0.934787,0.967913,27.23
13,0.051383,0.070986,0.953371,0.947638,0.974712,27.24
14,0.056484,0.077994,0.94963,0.943749,0.9727,27.42
15,0.057682,0.098354,0.929028,0.923666,0.961818,27.03
16,0.054487,0.070946,0.950614,0.943825,0.973009,27.82
17,0.052479,0.077324,0.94768,0.940589,0.971383,27.38
18,0.051253,0.082115,0.9455,0.937039,0.969908,27.2
19,0.049828,0.080655,0.948982,0.941185,0.971913,27.27
20,0.054784,0.074053,0.952664,0.946787,0.974305,27.75
21,0.050683,0.078931,0.948691,0.940612,0.971694,27.82
22,0.055893,0.083886,0.933582,0.927828,0.964173,27.3
23,0.049345,0.084433,0.941342,0.935837,0.968388,27.58
24,0.044355,0.072112,0.950385,0.944312,0.973055,27.15
25,0.04776,0.071197,0.950654,0.943406,0.972925,27.33
26,0.048631,0.070682,0.951849,0.945016,0.973653,27.83
27,0.045533,0.072134,0.950561,0.943271,0.972866,27.62
28,0.047277,0.072388,0.953331,0.946934,0.974536,27.14
29,0.047363,0.073006,0.946863,0.941259,0.9713,27.26
30,0.045051,0.0714,0.951119,0.94579,0.973618,27.78
