epoch,train_loss,val_loss,val_iou_sulfide,val_iou_bg,val_pixel_acc,seconds
1,0.103642,0.06834,0.955757,0.949472,0.975841,37.67
2,0.048335,0.059597,0.959766,0.954658,0.978218,39.72
3,0.04546,0.060205,0.958847,0.95272,0.977503,36.36
4,0.036386,0.050742,0.967153,0.962521,0.982183,36.56
5,0.039752,0.051609,0.963698,0.958771,0.980316,36.17
6,0.030616,0.056556,0.961274,0.955156,0.978779,36.33
7,0.031759,0.050083,0.965609,0.960747,0.981327,36.87
8,0.034183,0.044923,0.967436,0.962829,0.982335,36.63
9,0.031699,0.046609,0.96548,0.96102,0.981351,36.25
10,0.028117,0.051268,0.96234,0.956974,0.979506,36.43
11,0.03073,0.052258,0.964222,0.959197,0.980567,36.36
12,0.027949,0.050482,0.963774,0.95871,0.980324,36.34
13,0.024479,0.051065,0.964987,0.960501,0.981088,36.57
14,0.025897,0.042976,0.968827,0.964791,0.983188,36.25
15,0.021056,0.041782,0.97003,0.966077,0.983831,36.67
16,0.020859,0.040384,0.971548,0.96767,0.984634,36.56
17,0.032787,0.04613,0.965429,0.960933,0.981317,36.64
18,0.026754,0.052772,0.961966,0.957382,0.97949,36.48
19,0.029383,0.059999,0.958338,0.95363,0.977562,36.34
20,0.031615,0.052624,0.961175,0.956555,0.979068,36.86
21,0.02553,0.049109,0.964327,0.959813,0.980738,36.14
22,0.02123,0.046064,0.967543,0.962508,0.982295,36.25
23,0.022286,0.04834,0.966033,0.961498,0.981622,36.51
24,0.022018,0.045087,0.969645,0.965519,0.983592,36.17
25,0.020619,0.047341,0.96841,0.964417,0.982981,36.38
26,0.020788,0.042804,0.970629,0.966599,0.984124,36.12
27,0.020401,0.038523,0.970513,0.966716,0.984116,36.25
28,0.023333,0.047597,0.966917,0.962616,0.982135,36.87
29,0.0231,0.04708,0.968382,0.964077,0.982896,36.49
30,0.027995,0.055467,0.964032,0.959587,0.9806,36.35
