[transformers] You passed `num_labels=2` which is incompatible to the `id2label` map of length `1000`.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/364 [00:00<?, ?it/s]Loading weights: 100%|██████████| 364/364 [00:00<00:00, 9278.93it/s]
[transformers] [1mSegformerForSemanticSegmentation LOAD REPORT[0m from: nvidia/mit-b2
Key                                                     | Status     | 
--------------------------------------------------------+------------+-
classifier.weight                                       | UNEXPECTED | 
classifier.bias                                         | UNEXPECTED | 
decode_head.batch_norm.running_var                      | MISSING    | 
decode_head.linear_projections.{0, 1, 2, 3}.proj.weight | MISSING    | 
decode_head.linear_fuse.weight                          | MISSING    | 
decode_head.batch_norm.running_mean                     | MISSING    | 
decode_head.linear_projections.{0, 1, 2, 3}.proj.bias   | MISSING    | 
decode_head.classifier.bias                             | MISSING    | 
decode_head.batch_norm.bias                             | MISSING    | 
decode_head.batch_norm.num_batches_tracked              | MISSING    | 
decode_head.classifier.weight                           | MISSING    | 
decode_head.batch_norm.weight                           | MISSING    | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
- MISSING:	those params were newly initialized because missing from the checkpoint. Consider training on your downstream task.
{'epoch': 1, 'train_loss': 0.077314, 'val_loss': 0.091839, 'val_iou_sulfide': 0.941538, 'val_iou_bg': 0.93575, 'val_pixel_acc': 0.968424, 'seconds': 79.33}
{'epoch': 2, 'train_loss': 0.040788, 'val_loss': 0.051508, 'val_iou_sulfide': 0.965491, 'val_iou_bg': 0.960537, 'val_pixel_acc': 0.981245, 'seconds': 78.24}
{'epoch': 3, 'train_loss': 0.034867, 'val_loss': 0.049167, 'val_iou_sulfide': 0.966856, 'val_iou_bg': 0.962284, 'val_pixel_acc': 0.982042, 'seconds': 78.39}
{'epoch': 4, 'train_loss': 0.027073, 'val_loss': 0.049602, 'val_iou_sulfide': 0.966016, 'val_iou_bg': 0.961692, 'val_pixel_acc': 0.981662, 'seconds': 78.2}
{'epoch': 5, 'train_loss': 0.028718, 'val_loss': 0.148822, 'val_iou_sulfide': 0.899595, 'val_iou_bg': 0.875851, 'val_pixel_acc': 0.941227, 'seconds': 78.46}
{'epoch': 6, 'train_loss': 0.031109, 'val_loss': 0.044508, 'val_iou_sulfide': 0.968894, 'val_iou_bg': 0.964622, 'val_pixel_acc': 0.983169, 'seconds': 78.35}
{'epoch': 7, 'train_loss': 0.028746, 'val_loss': 0.095695, 'val_iou_sulfide': 0.933085, 'val_iou_bg': 0.921565, 'val_pixel_acc': 0.962538, 'seconds': 78.41}
{'epoch': 8, 'train_loss': 0.025693, 'val_loss': 0.044163, 'val_iou_sulfide': 0.967041, 'val_iou_bg': 0.963078, 'val_pixel_acc': 0.982277, 'seconds': 78.38}
{'epoch': 9, 'train_loss': 0.021741, 'val_loss': 0.038218, 'val_iou_sulfide': 0.972606, 'val_iou_bg': 0.968772, 'val_pixel_acc': 0.985191, 'seconds': 78.38}
{'epoch': 10, 'train_loss': 0.019576, 'val_loss': 0.037195, 'val_iou_sulfide': 0.97243, 'val_iou_bg': 0.968835, 'val_pixel_acc': 0.985154, 'seconds': 78.32}
{'epoch': 11, 'train_loss': 0.019253, 'val_loss': 0.045547, 'val_iou_sulfide': 0.967755, 'val_iou_bg': 0.963825, 'val_pixel_acc': 0.982656, 'seconds': 78.42}
{'epoch': 12, 'train_loss': 0.023243, 'val_loss': 0.037111, 'val_iou_sulfide': 0.971991, 'val_iou_bg': 0.968283, 'val_pixel_acc': 0.984901, 'seconds': 78.48}
{'epoch': 13, 'train_loss': 0.018457, 'val_loss': 0.037457, 'val_iou_sulfide': 0.972745, 'val_iou_bg': 0.969088, 'val_pixel_acc': 0.985303, 'seconds': 78.36}
{'epoch': 14, 'train_loss': 0.035601, 'val_loss': 0.082971, 'val_iou_sulfide': 0.936172, 'val_iou_bg': 0.930867, 'val_pixel_acc': 0.965673, 'seconds': 78.39}
{'epoch': 15, 'train_loss': 0.021357, 'val_loss': 0.046867, 'val_iou_sulfide': 0.968368, 'val_iou_bg': 0.964084, 'val_pixel_acc': 0.982893, 'seconds': 78.22}
{'epoch': 16, 'train_loss': 0.021818, 'val_loss': 0.048367, 'val_iou_sulfide': 0.964212, 'val_iou_bg': 0.959694, 'val_pixel_acc': 0.980677, 'seconds': 78.48}
{'epoch': 17, 'train_loss': 0.023367, 'val_loss': 0.061318, 'val_iou_sulfide': 0.956604, 'val_iou_bg': 0.94992, 'val_pixel_acc': 0.976197, 'seconds': 78.33}
{'epoch': 18, 'train_loss': 0.021448, 'val_loss': 0.03619, 'val_iou_sulfide': 0.972365, 'val_iou_bg': 0.968856, 'val_pixel_acc': 0.98514, 'seconds': 78.33}
{'epoch': 19, 'train_loss': 0.017994, 'val_loss': 0.035436, 'val_iou_sulfide': 0.973582, 'val_iou_bg': 0.970097, 'val_pixel_acc': 0.985774, 'seconds': 78.45}
{'epoch': 20, 'train_loss': 0.017371, 'val_loss': 0.034994, 'val_iou_sulfide': 0.974381, 'val_iou_bg': 0.970874, 'val_pixel_acc': 0.986181, 'seconds': 78.22}
{'epoch': 21, 'train_loss': 0.016992, 'val_loss': 0.034701, 'val_iou_sulfide': 0.973735, 'val_iou_bg': 0.970252, 'val_pixel_acc': 0.985853, 'seconds': 78.57}
{'epoch': 22, 'train_loss': 0.016715, 'val_loss': 0.035529, 'val_iou_sulfide': 0.973299, 'val_iou_bg': 0.969845, 'val_pixel_acc': 0.985635, 'seconds': 78.28}
{'epoch': 23, 'train_loss': 0.016503, 'val_loss': 0.038787, 'val_iou_sulfide': 0.97235, 'val_iou_bg': 0.968767, 'val_pixel_acc': 0.985116, 'seconds': 78.5}
{'epoch': 24, 'train_loss': 0.018231, 'val_loss': 0.03664, 'val_iou_sulfide': 0.973375, 'val_iou_bg': 0.969929, 'val_pixel_acc': 0.985676, 'seconds': 78.34}
{'epoch': 25, 'train_loss': 0.031159, 'val_loss': 0.057247, 'val_iou_sulfide': 0.95804, 'val_iou_bg': 0.953137, 'val_pixel_acc': 0.977361, 'seconds': 78.44}
{'epoch': 26, 'train_loss': 0.019081, 'val_loss': 0.037377, 'val_iou_sulfide': 0.972054, 'val_iou_bg': 0.968513, 'val_pixel_acc': 0.984972, 'seconds': 78.32}
{'epoch': 27, 'train_loss': 0.016792, 'val_loss': 0.039216, 'val_iou_sulfide': 0.970903, 'val_iou_bg': 0.96716, 'val_pixel_acc': 0.984331, 'seconds': 78.38}
{'epoch': 28, 'train_loss': 0.023794, 'val_loss': 0.036495, 'val_iou_sulfide': 0.972145, 'val_iou_bg': 0.968476, 'val_pixel_acc': 0.98499, 'seconds': 78.33}
{'epoch': 29, 'train_loss': 0.017522, 'val_loss': 0.036505, 'val_iou_sulfide': 0.972792, 'val_iou_bg': 0.969239, 'val_pixel_acc': 0.985351, 'seconds': 78.37}
{'epoch': 30, 'train_loss': 0.021654, 'val_loss': 0.043971, 'val_iou_sulfide': 0.969119, 'val_iou_bg': 0.965199, 'val_pixel_acc': 0.983366, 'seconds': 78.47}
